industry_name,skill_name,skill_count,rank
"Agriculture, Construction, Mining Machinery Manufacturing",Manufacturing,14,4
"Agriculture, Construction, Mining Machinery Manufacturing",Information Technology,10,5
"Agriculture, Construction, Mining Machinery Manufacturing",Analyst,8,6
"Agriculture, Construction, Mining Machinery Manufacturing",Business Development,8,6
"Agriculture, Construction, Mining Machinery Manufacturing",Management,8,6
"Agriculture, Construction, Mining Machinery Manufacturing",Project Management,7,9
"Agriculture, Construction, Mining Machinery Manufacturing",Production,5,10
"Agriculture, Construction, Mining Machinery Manufacturing",Sales,5,10
"Agriculture, Construction, Mining Machinery Manufacturing",Human Resources,5,10
"Air, Water, and Waste Program Management",Engineering,9,1
"Air, Water, and Waste Program Management",Management,6,2
"Air, Water, and Waste Program Management",Business Development,5,3
"Air, Water, and Waste Program Management",Project Management,5,3
"Air, Water, and Waste Program Management",Legal,3,5
"Air, Water, and Waste Program Management",Analyst,3,5
"Air, Water, and Waste Program Management",Administrative,3,5
"Air, Water, and Waste Program Management",Sales,3,5
"Air, Water, and Waste Program Management",Customer Service,2,9
"Air, Water, and Waste Program Management",Other,2,9
"Air, Water, and Waste Program Management",General Business,2,9
"Air, Water, and Waste Program Management",Science,2,9
"Air, Water, and Waste Program Management",Finance,2,9
"Air, Water, and Waste Program Management",Information Technology,2,9
"Air, Water, and Waste Program Management",Research,2,9
Airlines and Aviation,Information Technology,140,1
Airlines and Aviation,Engineering,124,2
Airlines and Aviation,Manufacturing,116,3
Airlines and Aviation,Management,112,4
Airlines and Aviation,Other,67,5
Airlines and Aviation,Sales,42,6
Airlines and Aviation,Business Development,32,7
Airlines and Aviation,Quality Assurance,24,8
Airlines and Aviation,Administrative,23,9
Airlines and Aviation,Project Management,20,10
Alternative Dispute Resolution,Legal,10,1
Alternative Dispute Resolution,Strategy/Planning,5,2
Alternative Dispute Resolution,Administrative,4,3
Alternative Dispute Resolution,Consulting,2,4
Alternative Dispute Resolution,Accounting/Auditing,1,5
Alternative Dispute Resolution,Information Technology,1,5
Alternative Fuel Vehicle Manufacturing,Manufacturing,8,1
Alternative Fuel Vehicle Manufacturing,Engineering,6,2
Alternative Fuel Vehicle Manufacturing,Design,3,3
Alternative Fuel Vehicle Manufacturing,Consulting,2,4
Alternative Fuel Vehicle Manufacturing,Legal,1,5
Alternative Fuel Vehicle Manufacturing,Supply Chain,1,5
Alternative Medicine,Management,14,1
Alternative Medicine,Manufacturing,12,2
Alternative Medicine,Business Development,11,3
Alternative Medicine,Sales,11,3
Alternative Medicine,Other,10,5
Alternative Medicine,Information Technology,6,6
Alternative Medicine,Health Care Provider,4,7
Alternative Medicine,Engineering,3,8
Alternative Medicine,Science,2,9
Alternative Medicine,Human Resources,2,9
Alternative Medicine,Analyst,2,9
Alternative Medicine,Project Management,2,9
Alternative Medicine,Production,2,9
Alternative Medicine,Administrative,2,9
Amusement Parks and Arcades,Engineering,1,1
Amusement Parks and Arcades,Accounting/Auditing,1,1
Animal Feed Manufacturing,Research,3,1
Animal Feed Manufacturing,Manufacturing,2,2
Animal Feed Manufacturing,Accounting/Auditing,2,2
Animal Feed Manufacturing,Science,1,4
Animal Feed Manufacturing,Analyst,1,4
Animal Feed Manufacturing,Supply Chain,1,4
Animal Feed Manufacturing,Other,1,4
Animal Feed Manufacturing,Purchasing,1,4
Animal Feed Manufacturing,Sales,1,4
Animation and Post-production,Public Relations,1,1
Animation and Post-production,Administrative,1,1
Animation and Post-production,Health Care Provider,1,1
Animation and Post-production,Business Development,1,1
Animation and Post-production,Marketing,1,1
Animation and Post-production,Sales,1,1
Animation and Post-production,Writing/Editing,1,1
Apparel & Fashion,Sales,41,1
Apparel & Fashion,Business Development,33,2
Apparel & Fashion,Customer Service,27,3
Apparel & Fashion,Management,14,4
Apparel & Fashion,Information Technology,13,5
Apparel & Fashion,Health Care Provider,11,6
Apparel & Fashion,Engineering,7,7
Apparel & Fashion,Design,4,8
Apparel & Fashion,Manufacturing,4,8
Apparel & Fashion,Other,4,8
Apparel & Fashion,Marketing,4,8
Apparel Manufacturing,Information Technology,4,1
Apparel Manufacturing,Sales,4,1
Apparel Manufacturing,Marketing,3,3
